side,offset,ratio,n,lo,hi
Equalising team (was losing),-3,0.9674273296321866,998,0.8331337557113003,1.1297953270189396
Equalising team (was losing),-2,0.9141706858685594,1040,0.7925997842028427,1.0421995586363486
Equalising team (was losing),-1,0.9879929067891164,1064,0.8617352816822283,1.139984513210142
Equalising team (was losing),1,1.0254165261007835,1072,0.8924476233435817,1.1603135036987828
Equalising team (was losing),2,1.048850403466691,1072,0.9145580043383574,1.181036124990872
Equalising team (was losing),3,1.078906018935628,1072,0.9594341597811886,1.2181421470791411
Equalising team (was losing),4,1.0674876339083161,1052,0.9408908127098311,1.2080494706407827
Equalising team (was losing),5,1.1193651413028365,967,0.9825961088951808,1.2765939424087183
Equalising team (was losing),6,1.1315440740245843,884,0.978086359469297,1.283818660572182
Opponent (was leading),-3,1.3637242792698312,998,1.198479934586402,1.5424647802450204
Opponent (was leading),-2,1.4420931497818883,1040,1.2864611617997044,1.6183873657419996
Opponent (was leading),-1,1.2781687070068835,1064,1.1414291364266473,1.4146611450922288
Opponent (was leading),1,0.8353405147545677,1072,0.731355685642141,0.9598666669825455
Opponent (was leading),2,1.0181448042603427,1072,0.8997672517333652,1.158487036358773
Opponent (was leading),3,1.0603908116037646,1072,0.942778447181844,1.1967680572424004
Opponent (was leading),4,1.10509605010815,1052,0.9645889900656561,1.250628447000428
Opponent (was leading),5,1.0395984637733433,967,0.9074661424999868,1.1705748144342483
Opponent (was leading),6,0.911614869556797,884,0.7920085037871616,1.0286721744257914
